net,length_um
_2581_,421.595
clknet_1_0__leaf_clk,415.7
clknet_1_1__leaf_clk,404.67
_0516_,292.54
_0493_,283.93
_2670_,273.74
_0504_,273.69
_0515_,273.52
_0496_,272.83
net61,269.02
_0500_,262.72
_2805_,260.92
_0494_,256.98
_0855_,251.57
_0816_,250.15
_0490_,245.405
_2582_,245.34
_0702_,238.62
_0595_,237.74
_2609_,236.66
_0558_,236.445
_0819_,232.09
_0556_,228.62
_0633_,227.34
_0547_,225.26
_0587_,224.87
_0502_,222.935
clk,222.25
_2309_,218.77
_0594_,217.84
_0656_,215.05
_2587_,212.56
_0499_,210.73
_0559_,209.855
_0632_,209.68
_2834_,208.12
_0981_,207.8
_0535_,206.93
_2308_,205.02
_2754_,204.06
_0557_,203.59
_0534_,202.89
_2327_,200.485
net2,198.8
_2613_,197.66
_2320_,196.18
_2304_,195.35
_0525_,195.285
_2301_,194.48
_0625_,190.88
_2319_,186.59
net27,186.24
_0812_,185.76
_2740_,185.09
_2746_,180.62
_1474_,179.05
_1639_,178.2
_0495_,177.865
_0612_,176.8
_2580_,176.18
_0521_,174.78
_0597_,174.44
_2756_,174.12
_2544_,173.1
_2539_,172.8
_0536_,170.125
_2741_,168.075
_2318_,167.85
_0648_,166.845
_1549_,162.4
u_interface.core_valid_out,161.66
_1935_,161.42
_0489_,161.11
_2618_,160.38
_1398_,158.81
_0491_,158.52
_0634_,157.37
_1550_,154.96
_1399_,154.51
_1596_,154.15
_0485_,149.17
net14,148.28
_2781_,147.44
_2867_,147.185
_2619_,146.12
_2584_,144.715
_2622_,144
_0586_,143.74
u_interface.u_compute_core.scaled_data\[17\],143.655
net19,143.22
_1325_,140.36
_0835_,139.65
_1326_,137.94
_2735_,137.4
_1490_,135.86
_2644_,133.9
_1476_,133.78
_0813_,133.59
_2631_,130.115
u_interface.u_compute_core.relu_data\[13\],129.74
clknet_leaf_4_clk,128.895
_2516_,128.57
_0488_,128.445
_2890_,128.24
_2669_,127.86
_0486_,127.765
u_interface.u_compute_core.scaled_data\[16\],127.385
u_interface.u_compute_core.scaled_data\[18\],126.965
_1627_,126.54
_2512_,126.5
_2625_,125.82
_1699_,125.74
_2672_,125.68
_1497_,125.31
u_interface.u_compute_core.u_av.product_reg\[31\],124.8
_1250_,124.54
_0596_,124.13
_1563_,123.75
_1636_,123.72
_1777_,122.34
_2949_,121.72
_0571_,120.21
_1251_,119.89
clknet_leaf_15_clk,118.8
_1999_,118.66
net123,118.46
u_interface.u_compute_core.scaled_data\[19\],116.985
_1042_,115.35
_1773_,115.28
_2713_,114.8
_0265_,113.62
net20,113.14
clknet_leaf_2_clk,112.96
_1176_,112.34
_2736_,112.18
u_interface.u_compute_core.u_mac.product_reg\[15\],111.89
_2935_,111.6
_2589_,111.11
_3013_,110.9
_1856_,110.52
_1774_,110.46
_2745_,109.655
_0503_,108.7
clknet_leaf_19_clk,108.32
_2611_,107.265
_2961_,107.18
_1106_,107.05
_0915_,106.88
_1177_,106.56
clknet_leaf_18_clk,105.14
u_interface.u_compute_core.scaled_data\[21\],104.995
_2637_,104.655
_0492_,103.96
_1593_,103.25
_1498_,101.82
_2694_,101.62
_2634_,101.09
_1867_,100.88
_1689_,100.35
u_interface.u_compute_core.relu_valid,99.74
clknet_leaf_20_clk,98.5
_2936_,98.36
clknet_0_clk,98.14
net121,98.12
u_interface.u_compute_core.scaled_data\[13\],97.905
_2647_,96.96
u_interface.u_compute_core.relu_data\[5\],96.28
_2583_,96.27
_2691_,95.94
_1105_,95.58
u_interface.u_compute_core.scaled_data\[26\],95.295
clknet_leaf_16_clk,94.96
clknet_leaf_13_clk,94.95
_2929_,94.855
u_interface.u_compute_core.scaled_data\[15\],94.195
u_interface.u_compute_core.scaled_data\[25\],93.935
_2579_,93.88
u_interface.u_compute_core.scaled_data\[23\],93.865
u_interface.u_compute_core.scaled_data\[10\],93.795
_0982_,93.77
_2640_,93.1
u_interface.u_compute_core.scaled_data\[20\],92.665
_2931_,92.52
u_interface.u_compute_core.scaled_data\[27\],92.235
u_interface.u_compute_core.scaled_data\[22\],92.135
_2283_,91.42
u_interface.u_compute_core.scaled_data\[24\],90.965
_1010_,90.8
_2970_,90.68
_2026_,90.38
_1209_,90.08
net21,89.88
_2945_,89.68
u_interface.u_compute_core.scaled_data\[11\],89.195
u_interface.u_compute_core.relu_data\[15\],88.98
_2753_,88.74
u_interface.u_compute_core.relu_data\[7\],88.52
u_interface.u_compute_core.scaled_data\[14\],88.375
_1943_,87.96
clknet_leaf_0_clk,87.95
_0498_,85.97
_2992_,85.27
_1445_,85.14
_2604_,85.07
_1444_,85.06
u_interface.u_compute_core.scaled_data\[12\],84.775
clknet_leaf_14_clk,84.36
clknet_leaf_17_clk,83.9
u_interface.u_compute_core.relu_data\[18\],83.18
_2628_,82.71
_2833_,82.58
clknet_leaf_10_clk,81.26
_0971_,81.1
_2521_,79.92
net26,79.88
_1337_,79.655
_2595_,79.55
clknet_leaf_12_clk,79.44
_2643_,79.38
_1447_,78.96
